time,open,high,low,close,volume,date,hour,minute,Marker,Color
2025-03-04 13:50:00-04:00,5796.75,5796.75,5788.75,5789.5,6111,2025-03-04,13,50,,c
2025-03-04 13:51:00-04:00,5789.75,5791.5,5788.5,5789.25,5273,2025-03-04,13,51,,c
2025-03-04 13:52:00-04:00,5789.5,5789.5,5781.0,5782.25,7249,2025-03-04,13,52,,c
2025-03-04 13:53:00-04:00,5782.25,5790.25,5781.5,5790.0,5424,2025-03-04,13,53,,c
2025-03-04 13:54:00-04:00,5790.0,5794.5,5790.0,5792.0,4548,2025-03-04,13,54,,c
2025-03-04 13:55:00-04:00,5791.75,5792.25,5788.5,5789.75,3759,2025-03-04,13,55,,c
2025-03-04 13:56:00-04:00,5789.75,5791.25,5785.75,5786.5,3888,2025-03-04,13,56,,c
2025-03-04 13:57:00-04:00,5786.75,5788.25,5785.0,5786.75,3545,2025-03-04,13,57,,c
2025-03-04 13:58:00-04:00,5786.75,5788.0,5784.25,5784.25,3209,2025-03-04,13,58,,c
2025-03-04 13:59:00-04:00,5784.25,5787.75,5783.25,5786.75,4266,2025-03-04,13,59,,c
2025-03-04 14:00:00-04:00,5786.75,5790.75,5785.0,5788.0,4763,2025-03-04,14,0,,c
2025-03-04 14:01:00-04:00,5788.0,5788.5,5782.25,5787.0,5207,2025-03-04,14,1,,c
2025-03-04 14:02:00-04:00,5786.75,5786.75,5783.0,5785.75,3284,2025-03-04,14,2,,c
2025-03-04 14:03:00-04:00,5785.5,5793.5,5785.25,5793.0,4506,2025-03-04,14,3,,c
2025-03-04 14:04:00-04:00,5792.75,5794.75,5790.0,5790.25,3377,2025-03-04,14,4,,c
2025-03-04 14:05:00-04:00,5790.25,5796.5,5788.5,5793.75,6025,2025-03-04,14,5,,c
2025-03-04 14:06:00-04:00,5793.75,5795.5,5790.75,5792.25,4109,2025-03-04,14,6,,c
2025-03-04 14:07:00-04:00,5792.25,5795.0,5790.75,5792.5,3596,2025-03-04,14,7,,c
2025-03-04 14:08:00-04:00,5792.25,5805.0,5792.0,5804.75,6346,2025-03-04,14,8,,c
2025-03-04 14:09:00-04:00,5804.75,5808.5,5804.0,5806.75,6893,2025-03-04,14,9,,c
2025-03-04 14:10:00-04:00,5806.5,5814.5,5805.25,5814.5,7873,2025-03-04,14,10,,c
2025-03-04 14:11:00-04:00,5814.5,5816.0,5811.5,5814.0,6741,2025-03-04,14,11,,c
2025-03-04 14:12:00-04:00,5814.0,5820.5,5813.75,5816.5,7313,2025-03-04,14,12,,c
2025-03-04 14:13:00-04:00,5816.75,5822.5,5816.0,5817.75,6741,2025-03-04,14,13,,c
2025-03-04 14:14:00-04:00,5817.75,5821.25,5817.25,5819.0,4770,2025-03-04,14,14,,c
2025-03-04 14:15:00-04:00,5819.0,5820.0,5813.5,5816.0,6150,2025-03-04,14,15,,c
2025-03-04 14:16:00-04:00,5815.75,5817.5,5807.5,5808.5,6691,2025-03-04,14,16,,c
2025-03-04 14:17:00-04:00,5808.5,5809.5,5804.75,5807.5,4695,2025-03-04,14,17,,c
2025-03-04 14:18:00-04:00,5807.75,5808.0,5801.75,5807.5,4665,2025-03-04,14,18,,c
2025-03-04 14:19:00-04:00,5807.5,5813.0,5807.0,5808.75,4533,2025-03-04,14,19,,c
2025-03-04 14:20:00-04:00,5808.75,5810.5,5805.25,5807.0,3567,2025-03-04,14,20,,c
2025-03-04 14:21:00-04:00,5807.0,5808.75,5804.5,5807.0,3191,2025-03-04,14,21,,c
2025-03-04 14:22:00-04:00,5807.0,5808.0,5801.5,5802.0,3768,2025-03-04,14,22,,c
2025-03-04 14:23:00-04:00,5801.75,5804.5,5796.5,5800.5,6428,2025-03-04,14,23,,c
2025-03-04 14:24:00-04:00,5800.25,5802.0,5798.25,5801.25,3195,2025-03-04,14,24,,c
2025-03-04 14:25:00-04:00,5801.5,5801.5,5797.25,5800.75,4558,2025-03-04,14,25,,c
2025-03-04 14:26:00-04:00,5800.75,5802.75,5797.75,5798.75,3242,2025-03-04,14,26,,c
2025-03-04 14:27:00-04:00,5798.75,5800.5,5797.0,5798.0,2264,2025-03-04,14,27,,c
2025-03-04 14:28:00-04:00,5798.0,5798.25,5794.0,5797.0,4096,2025-03-04,14,28,,c
2025-03-04 14:29:00-04:00,5797.25,5798.0,5794.75,5797.0,2768,2025-03-04,14,29,,c
2025-03-04 14:30:00-04:00,5797.0,5797.0,5791.25,5792.75,4390,2025-03-04,14,30,,c
2025-03-04 14:31:00-04:00,5792.5,5796.75,5791.25,5796.75,4518,2025-03-04,14,31,,c
2025-03-04 14:32:00-04:00,5796.5,5800.75,5795.25,5799.5,5078,2025-03-04,14,32,,c
2025-03-04 14:33:00-04:00,5799.5,5803.0,5799.0,5803.0,3946,2025-03-04,14,33,,c
2025-03-04 14:34:00-04:00,5802.75,5804.75,5802.25,5804.5,3724,2025-03-04,14,34,,c
2025-03-04 14:35:00-04:00,5804.25,5806.25,5801.5,5802.25,3780,2025-03-04,14,35,,c
2025-03-04 14:36:00-04:00,5802.25,5806.5,5802.25,5803.5,2710,2025-03-04,14,36,,c
2025-03-04 14:37:00-04:00,5803.75,5805.75,5799.25,5805.5,3541,2025-03-04,14,37,,c
2025-03-04 14:38:00-04:00,5805.5,5807.5,5803.0,5805.75,3260,2025-03-04,14,38,,c
2025-03-04 14:39:00-04:00,5805.5,5809.25,5805.5,5809.0,3727,2025-03-04,14,39,,c
2025-03-04 14:40:00-04:00,5809.0,5811.75,5808.25,5810.25,3854,2025-03-04,14,40,,c
2025-03-04 14:41:00-04:00,5810.25,5813.5,5807.75,5813.25,3764,2025-03-04,14,41,,c
2025-03-04 14:42:00-04:00,5813.0,5817.5,5812.5,5815.25,4984,2025-03-04,14,42,,c
2025-03-04 14:43:00-04:00,5815.5,5815.75,5812.0,5812.75,3741,2025-03-04,14,43,,c
2025-03-04 14:44:00-04:00,5812.75,5813.0,5807.75,5813.0,4623,2025-03-04,14,44,,c
2025-03-04 14:45:00-04:00,5812.75,5813.5,5810.0,5813.0,2687,2025-03-04,14,45,,c
2025-03-04 14:46:00-04:00,5813.25,5814.0,5811.25,5811.75,2656,2025-03-04,14,46,,c
2025-03-04 14:47:00-04:00,5811.75,5819.0,5810.5,5817.75,2921,2025-03-04,14,47,,c
2025-03-04 14:48:00-04:00,5817.5,5817.5,5813.5,5815.25,3150,2025-03-04,14,48,,c
2025-03-04 14:49:00-04:00,5815.0,5816.5,5811.25,5811.75,2833,2025-03-04,14,49,,c
2025-03-04 14:50:00-04:00,5812.0,5813.25,5809.0,5811.0,3741,2025-03-04,14,50,,c
2025-03-04 14:51:00-04:00,5810.75,5815.0,5810.5,5814.75,2677,2025-03-04,14,51,,c
2025-03-04 14:52:00-04:00,5814.75,5819.5,5814.0,5817.25,3232,2025-03-04,14,52,,c
2025-03-04 14:53:00-04:00,5817.25,5821.25,5816.25,5819.0,5005,2025-03-04,14,53,,c
2025-03-04 14:54:00-04:00,5818.75,5820.25,5817.5,5818.5,3248,2025-03-04,14,54,,c
