time,open,high,low,close,EMA,MA_HL upper,MA_HL lower,Basis,Upper,Lower,Volume,Histogram,MACD,Signal,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-03-04T14:21:00-04:00,5807,5808.75,5804.5,5807,5808.543629,5800.9676,5795.079145,5805.15,5825.200187,5785.099813,3191,-0.659277202,4.038262446,4.697539648,55.05864538,64.398377,NaN,NaN,NaN,NaN
2025-03-04T14:22:00-04:00,5807,5808,5801.5,5802,5807.234904,5801.218758,5795.308461,5805.9625,5824.020237,5787.904763,3768,-1.148259731,3.262214984,4.410474715,47.75793532,63.17025134,NaN,NaN,NaN,NaN
2025-03-04T14:23:00-04:00,5801.75,5804.5,5796.5,5800.5,5805.887923,5801.335945,5795.351016,5806.3375,5823.596755,5789.078245,6428,-1.530486786,2.497366233,4.027853019,45.79605034,61.68949645,NaN,NaN,NaN,NaN
2025-03-04T14:24:00-04:00,5800.25,5802,5798.25,5801.25,5804.960338,5801.359661,5795.454551,5806.8875,5822.701635,5791.073365,3195,-1.678686572,1.929494804,3.608181376,46.96908755,59.91497562,NaN,NaN,NaN,NaN
2025-03-04T14:25:00-04:00,5801.5,5801.5,5797.25,5800.75,5804.118271,5801.364673,5795.518674,5807.2375,5822.157683,5792.317317,4558,-1.748379735,1.422706706,3.171086442,46.25048204,58.14479225,NaN,NaN,NaN,NaN
2025-03-04T14:26:00-04:00,5800.75,5802.75,5797.75,5798.75,5803.044617,5801.414149,5795.598365,5807.5625,5821.407061,5793.717939,3242,-1.856954623,0.849893163,2.706847786,43.39078146,56.05611275,NaN,NaN,NaN,NaN
2025-03-04T14:27:00-04:00,5798.75,5800.5,5797,5798,5802.035693,5801.381501,5795.648423,5807.8375,5820.654749,5795.020251,2264,-1.900203691,0.331593172,2.231796863,42.3337047,53.83549195,NaN,NaN,NaN,NaN
2025-03-04T14:28:00-04:00,5798,5798.25,5794,5797,5801.028555,5801.269662,5795.589551,5807.45,5821.061209,5793.838791,4096,-1.911864082,-0.158033239,1.753830843,40.90288021,51.45542671,NaN,NaN,NaN,NaN
2025-03-04T14:29:00-04:00,5797.25,5798,5794.75,5797,5800.222844,5801.152888,5795.559567,5806.9625,5821.317181,5792.607819,2768,-1.834938856,-0.539842727,1.295096129,40.90288021,49.45867227,NaN,NaN,NaN,NaN
2025-03-04T14:30:00-04:00,5797,5797,5791.25,5792.75,5798.728275,5801.004571,5795.405654,5805.875,5821.052697,5790.697303,4390,-1.973565303,-1.171860499,0.801704803,35.06180663,47.84608436,NaN,NaN,NaN,NaN
2025-03-04T14:31:00-04:00,5792.5,5796.75,5791.25,5796.75,5798.33262,5800.852622,5795.257237,5805.0125,5820.205817,5789.819183,4518,-1.709034454,-1.334588264,0.37444619,43.27263777,46.91410392,NaN,NaN,NaN,NaN
2025-03-04T14:32:00-04:00,5796.5,5800.75,5795.25,5799.5,5798.566096,5800.848957,5795.256979,5804.1625,5818.571937,5789.753063,5078,-1.281556412,-1.227499325,0.054057087,48.12856906,46.32897571,NaN,NaN,NaN,NaN
2025-03-04T14:33:00-04:00,5799.5,5803,5799,5803,5799.452877,5800.925779,5795.390658,5803.425,5816.417402,5790.432598,3946,-0.723571156,-0.850406859,-0.126835702,53.57544773,46.03282527,NaN,NaN,NaN,NaN
2025-03-04T14:34:00-04:00,5802.75,5804.75,5802.25,5804.5,5800.462301,5801.062359,5795.635635,5802.7,5813.581866,5791.818134,3724,-0.23902318,-0.425614677,-0.186591497,55.72140563,46.08016529,NaN,NaN,NaN,NaN
2025-03-04T14:35:00-04:00,5804.25,5806.25,5801.5,5802.25,5800.819841,5801.247632,5795.845076,5802.0125,5811.022876,5793.002124,3780,-0.06467653,-0.26743716,-0.20276063,51.8497553,45.85095885,NaN,NaN,NaN,NaN
2025-03-04T14:36:00-04:00,5802.25,5806.5,5802.25,5803.5,5801.355873,5801.435216,5796.073824,5801.7625,5810.304272,5793.220728,2710,0.129611633,-0.040746089,-0.170357722,53.77150149,46.28049929,NaN,NaN,NaN,NaN
2025-03-04T14:37:00-04:00,5803.75,5805.75,5799.25,5805.5,5802.184698,5801.589316,5796.187259,5801.6625,5809.977058,5793.347942,3541,0.37378168,0.296869378,-0.076912302,56.74609431,47.06264529,NaN,NaN,NaN,NaN
2025-03-04T14:38:00-04:00,5805.5,5807.5,5803,5805.75,5802.897759,5801.800412,5796.430571,5801.575,5809.67608,5793.47392,3260,0.523884092,0.577942813,0.054058721,57.11753729,47.78753456,NaN,NaN,NaN,NaN
