time,open,high,low,close,Volume
2025-03-04T13:50:00-04:00,5796.75,5796.75,5788.75,5789.5,6111
2025-03-04T13:51:00-04:00,5789.75,5791.5,5788.5,5789.25,5273
2025-03-04T13:52:00-04:00,5789.5,5789.5,5781,5782.25,7249
2025-03-04T13:53:00-04:00,5782.25,5790.25,5781.5,5790,5424
2025-03-04T13:54:00-04:00,5790,5794.5,5790,5792,4548
2025-03-04T13:55:00-04:00,5791.75,5792.25,5788.5,5789.75,3759
2025-03-04T13:56:00-04:00,5789.75,5791.25,5785.75,5786.5,3888
2025-03-04T13:57:00-04:00,5786.75,5788.25,5785,5786.75,3545
2025-03-04T13:58:00-04:00,5786.75,5788,5784.25,5784.25,3209
2025-03-04T13:59:00-04:00,5784.25,5787.75,5783.25,5786.75,4266
2025-03-04T14:00:00-04:00,5786.75,5790.75,5785,5788,4763
2025-03-04T14:01:00-04:00,5788,5788.5,5782.25,5787,5207
2025-03-04T14:02:00-04:00,5786.75,5786.75,5783,5785.75,3284
2025-03-04T14:03:00-04:00,5785.5,5793.5,5785.25,5793,4506
2025-03-04T14:04:00-04:00,5792.75,5794.75,5790,5790.25,3377
2025-03-04T14:05:00-04:00,5790.25,5796.5,5788.5,5793.75,6025
2025-03-04T14:06:00-04:00,5793.75,5795.5,5790.75,5792.25,4109
2025-03-04T14:07:00-04:00,5792.25,5795,5790.75,5792.5,3596
2025-03-04T14:08:00-04:00,5792.25,5805,5792,5804.75,6346
2025-03-04T14:09:00-04:00,5804.75,5808.5,5804,5806.75,6893
2025-03-04T14:10:00-04:00,5806.5,5814.5,5805.25,5814.5,7873
2025-03-04T14:11:00-04:00,5814.5,5816,5811.5,5814,6741
2025-03-04T14:12:00-04:00,5814,5820.5,5813.75,5816.5,7313
2025-03-04T14:13:00-04:00,5816.75,5822.5,5816,5817.75,6741
2025-03-04T14:14:00-04:00,5817.75,5821.25,5817.25,5819,4770
2025-03-04T14:15:00-04:00,5819,5820,5813.5,5816,6150
2025-03-04T14:16:00-04:00,5815.75,5817.5,5807.5,5808.5,6691
2025-03-04T14:17:00-04:00,5808.5,5809.5,5804.75,5807.5,4695
2025-03-04T14:18:00-04:00,5807.75,5808,5801.75,5807.5,4665
2025-03-04T14:19:00-04:00,5807.5,5813,5807,5808.75,4533
2025-03-04T14:20:00-04:00,5808.75,5810.5,5805.25,5807,3567
2025-03-04T14:21:00-04:00,5807,5808.75,5804.5,5807,3191
2025-03-04T14:22:00-04:00,5807,5808,5801.5,5802,3768
2025-03-04T14:23:00-04:00,5801.75,5804.5,5796.5,5800.5,6428
2025-03-04T14:24:00-04:00,5800.25,5802,5798.25,5801.25,3195
2025-03-04T14:25:00-04:00,5801.5,5801.5,5797.25,5800.75,4558
2025-03-04T14:26:00-04:00,5800.75,5802.75,5797.75,5798.75,3242
2025-03-04T14:27:00-04:00,5798.75,5800.5,5797,5798,2264
2025-03-04T14:28:00-04:00,5798,5798.25,5794,5797,4096
2025-03-04T14:29:00-04:00,5797.25,5798,5794.75,5797,2768
2025-03-04T14:30:00-04:00,5797,5797,5791.25,5792.75,4390
2025-03-04T14:31:00-04:00,5792.5,5796.75,5791.25,5796.75,4518
2025-03-04T14:32:00-04:00,5796.5,5800.75,5795.25,5799.5,5078
2025-03-04T14:33:00-04:00,5799.5,5803,5799,5803,3946
2025-03-04T14:34:00-04:00,5802.75,5804.75,5802.25,5804.5,3724
2025-03-04T14:35:00-04:00,5804.25,5806.25,5801.5,5802.25,3780
2025-03-04T14:36:00-04:00,5802.25,5806.5,5802.25,5803.5,2710
2025-03-04T14:37:00-04:00,5803.75,5805.75,5799.25,5805.5,3541
2025-03-04T14:38:00-04:00,5805.5,5807.5,5803,5805.75,3260
2025-03-04T14:39:00-04:00,5805.5,5809.25,5805.5,5809,3727
2025-03-04T14:40:00-04:00,5809,5811.75,5808.25,5810.25,3854
2025-03-04T14:41:00-04:00,5810.25,5813.5,5807.75,5813.25,3764
2025-03-04T14:42:00-04:00,5813,5817.5,5812.5,5815.25,4984
2025-03-04T14:43:00-04:00,5815.5,5815.75,5812,5812.75,3741
2025-03-04T14:44:00-04:00,5812.75,5813,5807.75,5813,4623
2025-03-04T14:45:00-04:00,5812.75,5813.5,5810,5813,2687
2025-03-04T14:46:00-04:00,5813.25,5814,5811.25,5811.75,2656
2025-03-04T14:47:00-04:00,5811.75,5819,5810.5,5817.75,2921
2025-03-04T14:48:00-04:00,5817.5,5817.5,5813.5,5815.25,3150
2025-03-04T14:49:00-04:00,5815,5816.5,5811.25,5811.75,2833
2025-03-04T14:50:00-04:00,5812,5813.25,5809,5811,3741
2025-03-04T14:51:00-04:00,5810.75,5815,5810.5,5814.75,2677
2025-03-04T14:52:00-04:00,5814.75,5819.5,5814,5817.25,3232
2025-03-04T14:53:00-04:00,5817.25,5821.25,5816.25,5819,5005
2025-03-04T14:54:00-04:00,5818.75,5820.25,5817.5,5818.5,3248
2025-03-04T14:55:00-04:00,5818.5,5823,5817.75,5821.5,4325
2025-03-04T14:56:00-04:00,5821.5,5827.25,5821.5,5825.5,6177
2025-03-04T14:57:00-04:00,5825.75,5827.25,5825.25,5826.25,3888
2025-03-04T14:58:00-04:00,5826.25,5830.25,5825.75,5827.25,5261
2025-03-04T14:59:00-04:00,5827.5,5827.5,5823.25,5824.5,5918
2025-03-04T15:00:00-04:00,5824.25,5826.5,5823.5,5826.25,3733
2025-03-04T15:01:00-04:00,5826.25,5830,5823.75,5828.75,4497
2025-03-04T15:02:00-04:00,5828.75,5839.25,5828.5,5834.25,13877
2025-03-04T15:03:00-04:00,5834.25,5840,5832.5,5838.5,7374
2025-03-04T15:04:00-04:00,5838.5,5839,5835.5,5837,4285
2025-03-04T15:05:00-04:00,5837,5840,5835,5837.75,5341
2025-03-04T15:06:00-04:00,5837.75,5841.75,5836.75,5841.25,5783
2025-03-04T15:07:00-04:00,5841.25,5845.75,5840.25,5845,5551
2025-03-04T15:08:00-04:00,5845,5847,5844,5845.75,5632
2025-03-04T15:09:00-04:00,5845.75,5846,5841.75,5842.75,5538
2025-03-04T15:10:00-04:00,5842.75,5844,5836.5,5838,5728
2025-03-04T15:11:00-04:00,5837.75,5838,5833.5,5837.75,5561
2025-03-04T15:12:00-04:00,5837.75,5839.5,5835.5,5838,3531
2025-03-04T15:13:00-04:00,5838,5840.25,5834.75,5835.5,3610
2025-03-04T15:14:00-04:00,5835.5,5837.75,5834.75,5837.5,2942
2025-03-04T15:15:00-04:00,5837.5,5838.25,5834,5835.5,3330
2025-03-04T15:16:00-04:00,5835.5,5840,5834.5,5839.5,2943
2025-03-04T15:17:00-04:00,5839.25,5840.75,5838,5838.5,3188
2025-03-04T15:18:00-04:00,5838.25,5842,5837.25,5838.25,3088
2025-03-04T15:19:00-04:00,5838,5840.25,5837.75,5839.25,2741
2025-03-04T15:20:00-04:00,5839,5841.75,5838,5841.75,2462
2025-03-04T15:21:00-04:00,5841.75,5844,5839.5,5843.5,3560
2025-03-04T15:22:00-04:00,5843.5,5845,5841.75,5844.75,2554
