c,h,l,n,o,t,v,vw
529.35,529.37,529.35,16,529.37,2025-01-22 09:32:00+00:00,1189,529.368131
529.13,529.15,529.13,23,529.15,2025-01-22 09:33:00+00:00,1040,529.145727
529.12,529.12,529.12,11,529.12,2025-01-22 09:34:00+00:00,263,529.12
529.02,529.09,529.02,22,529.09,2025-01-22 09:35:00+00:00,1849,529.04006
529.01,529.01,529.01,9,529.01,2025-01-22 09:36:00+00:00,1075,529.01
528.9,529.01,528.85,51,529.01,2025-01-22 09:39:00+00:00,2879,528.910924
528.95,528.95,528.87,14,528.91,2025-01-22 09:40:00+00:00,720,528.907977
528.8,528.88,528.8,49,528.88,2025-01-22 09:42:00+00:00,4416,528.847557
528.85,528.9,528.77,63,528.77,2025-01-22 09:43:00+00:00,1803,528.803156
528.87,528.88,528.87,13,528.88,2025-01-22 09:45:00+00:00,584,528.872907
528.74,528.78,528.74,25,528.78,2025-01-22 09:46:00+00:00,2608,528.745652
528.79,528.79,528.79,8,528.79,2025-01-22 09:47:00+00:00,264,528.79
528.77,528.78,528.77,11,528.78,2025-01-22 09:48:00+00:00,1066,528.774813
528.84,528.84,528.84,10,528.84,2025-01-22 09:50:00+00:00,841,528.84
528.83,528.83,528.83,7,528.83,2025-01-22 09:51:00+00:00,266,528.83
528.88,528.88,528.84,11,528.84,2025-01-22 09:52:00+00:00,1584,528.856
528.99,528.99,528.95,41,528.95,2025-01-22 09:55:00+00:00,1395,528.954835
528.97,528.99,528.97,21,528.99,2025-01-22 09:56:00+00:00,603,528.98
528.85,528.96,528.85,41,528.96,2025-01-22 09:57:00+00:00,1542,528.920667
528.78,528.86,528.78,29,528.86,2025-01-22 09:58:00+00:00,1343,528.822
528.81,528.81,528.81,42,528.81,2025-01-22 09:59:00+00:00,6934,528.81
528.75,528.77,528.65,78,528.77,2025-01-22 10:00:00+00:00,4777,528.709846
528.75,528.75,528.75,5,528.75,2025-01-22 10:01:00+00:00,386,528.75
528.73,528.73,528.73,14,528.73,2025-01-22 10:02:00+00:00,174,528.73
528.71,528.73,528.71,14,528.73,2025-01-22 10:03:00+00:00,1235,528.725776
528.64,528.72,528.64,13,528.72,2025-01-22 10:04:00+00:00,1335,528.648333
528.77,528.77,528.76,12,528.76,2025-01-22 10:05:00+00:00,810,528.767143
528.81,528.81,528.8,14,528.81,2025-01-22 10:06:00+00:00,793,528.807778
528.83,528.83,528.78,23,528.8,2025-01-22 10:07:00+00:00,2350,528.807669
528.81,528.81,528.81,14,528.81,2025-01-22 10:09:00+00:00,142,528.81
528.78,528.78,528.78,5,528.78,2025-01-22 10:10:00+00:00,204,528.78
528.71,528.71,528.71,14,528.71,2025-01-22 10:11:00+00:00,484,528.71
528.61,528.66,528.61,62,528.66,2025-01-22 10:12:00+00:00,9365,528.643293
528.58,528.61,528.58,31,528.61,2025-01-22 10:13:00+00:00,1530,528.598018
528.58,528.58,528.55,14,528.55,2025-01-22 10:14:00+00:00,2963,528.577913
528.49,528.58,528.49,41,528.58,2025-01-22 10:15:00+00:00,2517,528.545281
528.51,528.51,528.5,59,528.5,2025-01-22 10:16:00+00:00,21039,528.50541
528.57,528.57,528.57,1,528.57,2025-01-22 10:17:00+00:00,100,528.57
528.55,528.56,528.51,12,528.56,2025-01-22 10:19:00+00:00,2398,528.548578
528.55,528.55,528.55,6,528.55,2025-01-22 10:21:00+00:00,207,528.55
528.57,528.57,528.57,8,528.57,2025-01-22 10:23:00+00:00,568,528.57
528.67,528.77,528.67,9,528.77,2025-01-22 10:26:00+00:00,807,528.696076
528.78,528.78,528.78,8,528.78,2025-01-22 10:28:00+00:00,1438,528.78
528.85,528.85,528.8,23,528.8,2025-01-22 10:29:00+00:00,1821,528.843261
528.83,528.85,528.83,6,528.85,2025-01-22 10:30:00+00:00,986,528.836667
528.84,528.84,528.84,7,528.84,2025-01-22 10:31:00+00:00,1232,528.84
528.9,528.9,528.9,12,528.9,2025-01-22 10:32:00+00:00,176,528.9
528.92,528.92,528.92,7,528.92,2025-01-22 10:33:00+00:00,212,528.92
528.83,528.83,528.83,5,528.83,2025-01-22 10:34:00+00:00,129,528.83
528.81,528.81,528.81,6,528.81,2025-01-22 10:35:00+00:00,208,528.81
528.98,528.98,528.88,9,528.88,2025-01-22 10:36:00+00:00,690,528.963333
528.95,528.95,528.95,7,528.95,2025-01-22 10:37:00+00:00,881,528.95
529.04,529.04,529.0,18,529.0,2025-01-22 10:38:00+00:00,2420,529.014649
529.03,529.03,529.02,11,529.02,2025-01-22 10:39:00+00:00,240,529.025
528.96,528.96,528.96,10,528.96,2025-01-22 10:41:00+00:00,267,528.96
529.0,529.0,529.0,9,529.0,2025-01-22 10:42:00+00:00,315,529.0
528.97,528.97,528.97,14,528.97,2025-01-22 10:43:00+00:00,322,528.97
528.91,528.93,528.86,29,528.92,2025-01-22 10:44:00+00:00,2278,528.894559
528.92,528.92,528.92,10,528.92,2025-01-22 10:45:00+00:00,346,528.92
529.03,529.03,529.03,11,529.03,2025-01-22 10:49:00+00:00,481,529.03
528.85,528.91,528.85,7,528.91,2025-01-22 10:53:00+00:00,510,528.88
528.96,528.96,528.87,12,528.88,2025-01-22 10:54:00+00:00,746,528.893341
529.01,529.01,528.95,8,528.95,2025-01-22 10:55:00+00:00,300,528.98
529.0,529.0,528.99,9,528.99,2025-01-22 10:57:00+00:00,1195,528.997369
528.84,528.89,528.84,49,528.89,2025-01-22 11:01:00+00:00,4325,528.850731
528.89,528.95,528.89,12,528.95,2025-01-22 11:03:00+00:00,650,528.913107
528.95,528.95,528.95,8,528.95,2025-01-22 11:04:00+00:00,134,528.95
529.05,529.05,529.05,5,529.05,2025-01-22 11:06:00+00:00,366,529.05
529.01,529.01,528.95,11,529.01,2025-01-22 11:07:00+00:00,756,528.984755
529.03,529.03,529.03,4,529.03,2025-01-22 11:09:00+00:00,522,529.03
529.1,529.1,529.1,13,529.1,2025-01-22 11:10:00+00:00,552,529.1
529.18,529.19,529.18,10,529.19,2025-01-22 11:11:00+00:00,1894,529.180541
529.28,529.28,529.2,15,529.2,2025-01-22 11:12:00+00:00,801,529.222727
529.27,529.27,529.26,7,529.26,2025-01-22 11:13:00+00:00,715,529.26509
529.1,529.21,529.1,15,529.21,2025-01-22 11:15:00+00:00,745,529.132857
529.09,529.1,529.09,6,529.1,2025-01-22 11:16:00+00:00,304,529.096633
529.1,529.1,529.07,14,529.1,2025-01-22 11:17:00+00:00,1132,529.092236
529.3,529.3,529.15,20,529.15,2025-01-22 11:20:00+00:00,3227,529.205773
529.16,529.16,529.16,12,529.16,2025-01-22 11:22:00+00:00,1600,529.16
529.14,529.14,529.14,9,529.14,2025-01-22 11:24:00+00:00,878,529.14
529.08,529.08,529.04,24,529.04,2025-01-22 11:26:00+00:00,467,529.055641
529.11,529.11,529.11,19,529.11,2025-01-22 11:27:00+00:00,661,529.11
529.04,529.04,529.04,27,529.04,2025-01-22 11:28:00+00:00,1109,529.04
529.04,529.04,529.04,11,529.04,2025-01-22 11:29:00+00:00,563,529.04
529.0,529.0,529.0,40,529.0,2025-01-22 11:31:00+00:00,680,529.0
528.94,528.94,528.89,34,528.9,2025-01-22 11:32:00+00:00,4252,528.901351
528.89,528.89,528.89,18,528.89,2025-01-22 11:33:00+00:00,565,528.89
529.01,529.01,528.94,35,528.97,2025-01-22 11:34:00+00:00,2281,528.967146
529.05,529.05,529.05,11,529.05,2025-01-22 11:35:00+00:00,349,529.05
529.1,529.14,529.09,25,529.14,2025-01-22 11:36:00+00:00,3223,529.101594
529.01,529.01,529.01,3,529.01,2025-01-22 11:38:00+00:00,650,529.01
529.05,529.05,529.05,5,529.05,2025-01-22 11:43:00+00:00,419,529.05
529.14,529.14,529.09,12,529.09,2025-01-22 11:44:00+00:00,1023,529.10875
529.11,529.11,529.07,18,529.07,2025-01-22 11:45:00+00:00,1564,529.099091
529.09,529.09,529.09,14,529.09,2025-01-22 11:46:00+00:00,1295,529.09
528.97,528.97,528.97,11,528.97,2025-01-22 11:47:00+00:00,324,528.97
528.97,528.97,528.97,7,528.97,2025-01-22 11:48:00+00:00,144,528.97
528.94,529.01,528.94,17,529.01,2025-01-22 11:49:00+00:00,5367,528.948818
529.06,529.06,529.05,14,529.06,2025-01-22 11:51:00+00:00,2251,529.056818
529.03,529.08,529.02,18,529.05,2025-01-22 11:52:00+00:00,1522,529.051538
529.06,529.06,529.06,6,529.06,2025-01-22 11:53:00+00:00,1008,529.06
528.97,529.02,528.95,13,529.02,2025-01-22 11:54:00+00:00,726,528.971429
528.81,528.94,528.8,40,528.94,2025-01-22 11:55:00+00:00,3109,528.890528
528.9,528.9,528.85,23,528.85,2025-01-22 11:57:00+00:00,1993,528.86
528.86,528.9,528.86,16,528.9,2025-01-22 11:59:00+00:00,1010,528.889217
528.901,528.95,528.8,125,528.84,2025-01-22 12:00:00+00:00,16110,528.8544
528.96,529.0,528.94,47,528.96,2025-01-22 12:01:00+00:00,2501,528.957101
528.96,529.02,528.96,31,529.02,2025-01-22 12:02:00+00:00,1467,528.97
528.76,528.91,528.75,90,528.91,2025-01-22 12:03:00+00:00,4735,528.858822
528.87,528.87,528.78,24,528.78,2025-01-22 12:04:00+00:00,1567,528.849982
528.849,528.849,528.849,12,528.849,2025-01-22 12:05:00+00:00,237,528.849
528.81,528.81,528.74,20,528.74,2025-01-22 12:06:00+00:00,3253,528.748862
528.95,528.95,528.82,21,528.82,2025-01-22 12:07:00+00:00,3991,528.862369
528.87,528.87,528.87,11,528.87,2025-01-22 12:08:00+00:00,550,528.87
529.04,529.04,528.95,34,528.95,2025-01-22 12:09:00+00:00,1034,528.983941
529.2,529.2,529.0,39,529.05,2025-01-22 12:10:00+00:00,1943,529.073375
529.15,529.21,529.15,24,529.17,2025-01-22 12:11:00+00:00,2812,529.163983
529.29,529.29,529.2,119,529.2,2025-01-22 12:12:00+00:00,15551,529.267239
529.3,529.3,529.3,21,529.3,2025-01-22 12:13:00+00:00,696,529.3
529.4,529.4,529.33,74,529.33,2025-01-22 12:14:00+00:00,1892,529.355
529.25,529.42,529.25,33,529.42,2025-01-22 12:15:00+00:00,2458,529.34139
529.22,529.22,529.22,11,529.22,2025-01-22 12:16:00+00:00,403,529.22
529.3,529.31,529.3,28,529.3,2025-01-22 12:17:00+00:00,1204,529.30411
529.3,529.3,529.3,12,529.3,2025-01-22 12:19:00+00:00,1017,529.3
529.46,529.46,529.32,65,529.32,2025-01-22 12:20:00+00:00,3270,529.403738
529.2,529.45,529.19,58,529.45,2025-01-22 12:21:00+00:00,3313,529.274015
529.14,529.159,529.12,46,529.159,2025-01-22 12:22:00+00:00,1897,529.138645
529.18,529.18,529.18,17,529.18,2025-01-22 12:23:00+00:00,737,529.18
529.11,529.14,529.11,33,529.14,2025-01-22 12:24:00+00:00,2424,529.119791
529.11,529.15,529.1,30,529.14,2025-01-22 12:25:00+00:00,2017,529.119439
529.17,529.17,529.101,18,529.14,2025-01-22 12:26:00+00:00,1427,529.127644
529.14,529.19,529.14,15,529.18,2025-01-22 12:27:00+00:00,818,529.160319
529.18,529.21,529.18,36,529.21,2025-01-22 12:28:00+00:00,618,529.188646
529.18,529.18,529.18,8,529.18,2025-01-22 12:29:00+00:00,231,529.18
529.24,529.24,529.15,37,529.16,2025-01-22 12:30:00+00:00,3614,529.180455
529.29,529.31,529.28,26,529.28,2025-01-22 12:31:00+00:00,591,529.292579
529.16,529.21,529.16,23,529.21,2025-01-22 12:32:00+00:00,2261,529.196668
529.24,529.24,529.24,12,529.24,2025-01-22 12:33:00+00:00,724,529.24
529.211,529.211,529.211,14,529.211,2025-01-22 12:35:00+00:00,443,529.211
529.29,529.3,529.29,36,529.3,2025-01-22 12:36:00+00:00,3036,529.299532
529.34,529.4,529.34,12,529.4,2025-01-22 12:37:00+00:00,529,529.374286
529.23,529.23,529.19,17,529.19,2025-01-22 12:39:00+00:00,465,529.213333
529.211,529.211,529.14,29,529.16,2025-01-22 12:40:00+00:00,2045,529.164397
529.42,529.42,529.4,27,529.4,2025-01-22 12:41:00+00:00,972,529.413157
529.37,529.4,529.37,31,529.37,2025-01-22 12:42:00+00:00,1241,529.38
529.38,529.38,529.38,13,529.38,2025-01-22 12:43:00+00:00,397,529.38
529.46,529.5,529.42,38,529.48,2025-01-22 12:44:00+00:00,1617,529.48575
529.4,529.4,529.4,18,529.4,2025-01-22 12:45:00+00:00,345,529.4
529.32,529.35,529.29,37,529.29,2025-01-22 12:46:00+00:00,2428,529.339492
529.35,529.35,529.31,15,529.31,2025-01-22 12:47:00+00:00,632,529.336667
529.26,529.33,529.26,37,529.33,2025-01-22 12:48:00+00:00,3637,529.325466
529.381,529.381,529.25,26,529.261,2025-01-22 12:49:00+00:00,1613,529.276287
529.44,529.44,529.399,34,529.399,2025-01-22 12:52:00+00:00,3945,529.409462
529.38,529.38,529.37,47,529.37,2025-01-22 12:53:00+00:00,11011,529.379902
529.51,529.51,529.44,56,529.44,2025-01-22 12:54:00+00:00,1794,529.469988
529.56,529.6,529.49,55,529.49,2025-01-22 12:55:00+00:00,2733,529.563343
529.6,529.65,529.57,87,529.57,2025-01-22 12:56:00+00:00,22535,529.597922
529.54,529.63,529.54,45,529.61,2025-01-22 12:57:00+00:00,3644,529.583592
529.51,529.53,529.5,41,529.53,2025-01-22 12:58:00+00:00,3663,529.518199
529.45,529.5,529.44,86,529.5,2025-01-22 12:59:00+00:00,23108,529.461717
529.41,529.5999,527.72,1344,529.46,2025-01-22 13:00:00+00:00,112973,528.541094
529.34,529.42,529.34,233,529.4,2025-01-22 13:01:00+00:00,5800,529.399355
529.3535,529.394,529.3501,50,529.3501,2025-01-22 13:02:00+00:00,2214,529.364717
529.34,529.4,529.34,41,529.4,2025-01-22 13:03:00+00:00,2305,529.383705
529.31,529.37,529.31,43,529.36,2025-01-22 13:04:00+00:00,1179,529.343072
529.37,529.41,529.37,46,529.38,2025-01-22 13:05:00+00:00,1547,529.400352
529.37,529.4384,529.37,35,529.4384,2025-01-22 13:06:00+00:00,3041,529.405976
529.44,529.44,529.4,36,529.439,2025-01-22 13:07:00+00:00,1955,529.42877
529.46,529.46,529.44,22,529.44,2025-01-22 13:08:00+00:00,705,529.447038
529.4,529.4499,529.4,46,529.4499,2025-01-22 13:09:00+00:00,3643,529.416387
529.5,529.5,529.41,37,529.425,2025-01-22 13:10:00+00:00,1564,529.45582
529.5,529.61,529.5,61,529.51,2025-01-22 13:11:00+00:00,4434,529.550845
529.6,529.6401,529.51,92,529.51,2025-01-22 13:12:00+00:00,7565,529.54282
529.57,529.64,529.56,102,529.61,2025-01-22 13:13:00+00:00,8220,529.612447
529.58,529.65,529.5606,51,529.5606,2025-01-22 13:14:00+00:00,3008,529.603252
529.64,529.64,529.56,47,529.56,2025-01-22 13:15:00+00:00,3917,529.602003
529.62,529.68,529.61,75,529.61,2025-01-22 13:16:00+00:00,12766,529.666389
529.7,529.7,529.66,87,529.66,2025-01-22 13:17:00+00:00,5639,529.690391
529.73,529.73,529.7,44,529.7,2025-01-22 13:18:00+00:00,2242,529.716923
529.67,529.74,529.67,73,529.7,2025-01-22 13:19:00+00:00,7454,529.699498
529.65,529.73,529.65,56,529.71,2025-01-22 13:20:00+00:00,4584,529.682529
529.6,529.65,529.6,39,529.63,2025-01-22 13:21:00+00:00,3065,529.607114
529.56,529.62,529.56,67,529.58,2025-01-22 13:22:00+00:00,11680,529.566101
529.55,529.59,529.55,25,529.59,2025-01-22 13:23:00+00:00,706,529.563333
529.5,529.53,529.5,35,529.53,2025-01-22 13:24:00+00:00,845,529.5225
529.515,529.515,529.48,47,529.5,2025-01-22 13:25:00+00:00,3175,529.483441
529.61,529.61,529.5,56,529.5,2025-01-22 13:26:00+00:00,2784,529.558199
529.66,529.67,529.615,46,529.615,2025-01-22 13:27:00+00:00,2963,529.646951
529.73,529.73,529.68,37,529.7,2025-01-22 13:28:00+00:00,1840,529.696982
529.7,529.7,529.6501,27,529.68,2025-01-22 13:29:00+00:00,2836,529.67959
529.54,529.65,529.54,51,529.65,2025-01-22 13:30:00+00:00,4510,529.589159
529.59,529.59,529.52,44,529.53,2025-01-22 13:31:00+00:00,1922,529.536396
529.82,529.83,529.69,103,529.7,2025-01-22 13:32:00+00:00,7578,529.788229
529.8,529.85,529.78,50,529.81,2025-01-22 13:33:00+00:00,4784,529.826875
529.81,529.81,529.76,65,529.7626,2025-01-22 13:34:00+00:00,4698,529.797736
529.8,529.82,529.76,60,529.78,2025-01-22 13:35:00+00:00,3155,529.775018
529.8304,529.867,529.8,66,529.82,2025-01-22 13:36:00+00:00,2866,529.826527
529.77,529.83,529.75,75,529.83,2025-01-22 13:37:00+00:00,6984,529.800385
529.75,529.76,529.7,59,529.76,2025-01-22 13:38:00+00:00,5117,529.732015
529.77,529.79,529.72,33,529.72,2025-01-22 13:39:00+00:00,2447,529.750743
529.83,529.86,529.74,53,529.74,2025-01-22 13:40:00+00:00,3708,529.803079
529.79,529.8121,529.77,67,529.8121,2025-01-22 13:41:00+00:00,8068,529.785782
529.83,529.83,529.82,34,529.83,2025-01-22 13:42:00+00:00,841,529.826977
529.89,529.89,529.85,58,529.85,2025-01-22 13:43:00+00:00,3650,529.870768
529.9006,529.96,529.88,119,529.89,2025-01-22 13:44:00+00:00,13911,529.921806
529.87,529.92,529.87,63,529.92,2025-01-22 13:45:00+00:00,4337,529.894392
529.87,529.87,529.81,40,529.82,2025-01-22 13:46:00+00:00,2599,529.839929
529.82,529.859,529.8,80,529.859,2025-01-22 13:47:00+00:00,3478,529.822625
529.9001,529.92,529.81,43,529.81,2025-01-22 13:48:00+00:00,4794,529.882289
529.9,529.95,529.88,74,529.9,2025-01-22 13:49:00+00:00,8103,529.900858
529.94,529.95,529.89,72,529.89,2025-01-22 13:50:00+00:00,3743,529.898406
529.95,529.96,529.9,62,529.93,2025-01-22 13:51:00+00:00,2947,529.938018
529.92,529.98,529.89,86,529.95,2025-01-22 13:52:00+00:00,7233,529.934067
529.87,529.9,529.87,62,529.89,2025-01-22 13:53:00+00:00,2831,529.893014
529.87,529.9,529.87,57,529.9,2025-01-22 13:54:00+00:00,5764,529.898682
529.88,529.91,529.86,45,529.87,2025-01-22 13:55:00+00:00,2875,529.877545
529.86,529.8939,529.86,31,529.8939,2025-01-22 13:56:00+00:00,895,529.865736
529.9,529.9,529.85,60,529.85,2025-01-22 13:57:00+00:00,2923,529.888957
529.87,529.93,529.85,72,529.93,2025-01-22 13:58:00+00:00,4501,529.887303
529.89,529.94,529.84,52,529.86,2025-01-22 13:59:00+00:00,1627,529.885648
529.98,529.98,529.91,54,529.92,2025-01-22 14:00:00+00:00,1971,529.96916
529.76,529.96,529.76,92,529.96,2025-01-22 14:01:00+00:00,7545,529.843712
529.83,529.83,529.73,73,529.76,2025-01-22 14:02:00+00:00,3790,529.77422
529.73,529.8,529.73,39,529.8,2025-01-22 14:03:00+00:00,2804,529.76557
529.75,529.75,529.7,49,529.72,2025-01-22 14:04:00+00:00,3455,529.736339
529.75,529.7801,529.73,58,529.73,2025-01-22 14:05:00+00:00,4309,529.736914
529.63,529.74,529.63,136,529.74,2025-01-22 14:06:00+00:00,21896,529.667361
529.53,529.63,529.53,104,529.63,2025-01-22 14:07:00+00:00,13142,529.601892
529.53,529.58,529.48,87,529.55,2025-01-22 14:08:00+00:00,5577,529.530909
529.58,529.58,529.46,80,529.54,2025-01-22 14:09:00+00:00,9507,529.503008
529.63,529.63,529.55,64,529.57,2025-01-22 14:10:00+00:00,3715,529.598025
529.55,529.61,529.51,54,529.61,2025-01-22 14:11:00+00:00,2291,529.572731
529.54,529.55,529.4701,59,529.55,2025-01-22 14:12:00+00:00,4876,529.509478
529.45,529.51,529.4,118,529.5,2025-01-22 14:13:00+00:00,7318,529.416185
529.39,529.43,529.35,59,529.42,2025-01-22 14:14:00+00:00,2940,529.3775
529.4003,529.45,529.36,82,529.37,2025-01-22 14:15:00+00:00,9290,529.43162
529.48,529.52,529.42,51,529.42,2025-01-22 14:16:00+00:00,2266,529.4829
529.6,529.6,529.51,53,529.51,2025-01-22 14:17:00+00:00,2983,529.577045
529.6,529.62,529.528,105,529.6,2025-01-22 14:18:00+00:00,12942,529.55419
529.5,529.59,529.47,81,529.55,2025-01-22 14:19:00+00:00,13642,529.526713
529.43,529.5,529.4,111,529.47,2025-01-22 14:20:00+00:00,26235,529.430897
529.36,529.41,529.331,85,529.41,2025-01-22 14:21:00+00:00,9259,529.354006
529.3,529.36,529.2713,104,529.35,2025-01-22 14:22:00+00:00,8254,529.323507
529.279,529.29,529.21,104,529.29,2025-01-22 14:23:00+00:00,7593,529.255477
529.24,529.29,529.19,142,529.27,2025-01-22 14:24:00+00:00,27949,529.226155
529.35,529.5,529.28,248,529.28,2025-01-22 14:25:00+00:00,19222,529.366153
529.35,529.43,529.3301,102,529.39,2025-01-22 14:26:00+00:00,12717,529.374508
529.4,529.47,529.31,189,529.36,2025-01-22 14:27:00+00:00,27102,529.384612
529.5,529.53,529.34,221,529.37,2025-01-22 14:28:00+00:00,27571,529.439066
529.54,529.75,529.36,524,529.51,2025-01-22 14:29:00+00:00,286329,529.650823
529.52,529.72,529.26,6394,529.57,2025-01-22 14:30:00+00:00,1035912,529.509473
530.5,530.56,529.41,5988,529.51,2025-01-22 14:31:00+00:00,771275,529.989594
530.96,531.07,530.35,3767,530.5,2025-01-22 14:32:00+00:00,560009,530.731492
530.55,531.1994,530.36,3436,530.94,2025-01-22 14:33:00+00:00,410257,530.920004
530.64,530.7096,530.33,1853,530.5607,2025-01-22 14:34:00+00:00,207724,530.513128
530.335,530.7,530.3,1980,530.67,2025-01-22 14:35:00+00:00,220907,530.465086
530.2887,530.309,529.85,2003,530.29,2025-01-22 14:36:00+00:00,214108,530.123561
530.39,530.72,530.07,1692,530.26,2025-01-22 14:37:00+00:00,158817,530.444843
530.18,530.435,530.04,1497,530.435,2025-01-22 14:38:00+00:00,113151,530.240526
530.57,530.68,530.03,1626,530.14,2025-01-22 14:39:00+00:00,135161,530.445865
530.23,530.84,530.15,1740,530.52,2025-01-22 14:40:00+00:00,166140,530.513324
530.1,530.3,529.93,1563,530.261,2025-01-22 14:41:00+00:00,162928,530.070478
530.27,530.4044,530.09,970,530.141,2025-01-22 14:42:00+00:00,97080,530.1777
530.385,530.48,530.22,817,530.33,2025-01-22 14:43:00+00:00,61984,530.370951
530.6,530.62,530.34,1346,530.4,2025-01-22 14:44:00+00:00,144995,530.449327
530.8,530.865,530.535,1462,530.61,2025-01-22 14:45:00+00:00,137778,530.724077
530.6,531.081,530.4,1531,530.83,2025-01-22 14:46:00+00:00,136924,530.729808
530.51,530.7,530.43,1109,530.6,2025-01-22 14:47:00+00:00,86027,530.560687
530.845,530.87,530.45,1038,530.59,2025-01-22 14:48:00+00:00,73131,530.643081
531.245,531.28,530.845,1749,530.845,2025-01-22 14:49:00+00:00,148492,531.027159
531.19,531.38,530.98,1878,531.27,2025-01-22 14:50:00+00:00,175945,531.235198
531.38,531.46,531.045,1221,531.18,2025-01-22 14:51:00+00:00,114209,531.280329
531.4599,531.53,531.16,1212,531.44,2025-01-22 14:52:00+00:00,248115,531.394147
531.53,531.57,531.28,1051,531.45,2025-01-22 14:53:00+00:00,274129,531.446647
531.7,531.83,531.45,1453,531.54,2025-01-22 14:54:00+00:00,152588,531.672677
531.89,531.89,531.61,1371,531.7,2025-01-22 14:55:00+00:00,152696,531.780552
532.045,532.045,531.785,1247,531.89,2025-01-22 14:56:00+00:00,97875,531.900977
532.12,532.215,532.03,1422,532.03,2025-01-22 14:57:00+00:00,139403,532.112716
532.01,532.14,531.72,2107,532.14,2025-01-22 14:58:00+00:00,190538,531.968454
531.89,532.12,531.79,1196,532.03,2025-01-22 14:59:00+00:00,100852,531.960099
532.04,532.15,531.77,1275,531.92,2025-01-22 15:00:00+00:00,98049,531.955171
531.89,532.09,531.8767,1225,532.04,2025-01-22 15:01:00+00:00,156389,531.968079
531.565,531.94,530.97,3316,531.87,2025-01-22 15:02:00+00:00,300955,531.441783
531.705,531.82,531.45,1188,531.54,2025-01-22 15:03:00+00:00,73360,531.657896
531.75,531.85,531.6,995,531.72,2025-01-22 15:04:00+00:00,64804,531.738092
531.65,531.81,531.47,1188,531.77,2025-01-22 15:05:00+00:00,277623,531.605766
531.915,531.92,531.6671,953,531.699,2025-01-22 15:06:00+00:00,57782,531.82457
531.96,532.14,531.87,1190,531.905,2025-01-22 15:07:00+00:00,76717,531.976367
532.17,532.175,531.85,955,531.96,2025-01-22 15:08:00+00:00,67378,532.041507
531.92,532.18,531.87,883,532.13,2025-01-22 15:09:00+00:00,66347,531.986447
532.0399,532.08,531.73,857,531.9301,2025-01-22 15:10:00+00:00,160445,531.936175
532.16,532.44,532.03,2359,532.035,2025-01-22 15:11:00+00:00,131739,532.278124
532.34,532.4,532.1286,3380,532.22,2025-01-22 15:12:00+00:00,57964,532.275338
532.27,532.42,532.2325,1535,532.33,2025-01-22 15:13:00+00:00,58091,532.352535
532.25,532.27,531.89,1082,532.26,2025-01-22 15:14:00+00:00,81267,532.058146
532.28,532.28,532.16,746,532.23,2025-01-22 15:15:00+00:00,47844,532.221002
532.195,532.38,532.195,907,532.29,2025-01-22 15:16:00+00:00,352741,532.289185
532.17,532.28,532.11,700,532.1859,2025-01-22 15:17:00+00:00,33028,532.202219
532.24,532.28,532.07,655,532.1977,2025-01-22 15:18:00+00:00,33947,532.185628
532.08,532.22,532.02,960,532.22,2025-01-22 15:19:00+00:00,93338,532.093646
531.95,532.095,531.675,1261,532.0876,2025-01-22 15:20:00+00:00,374648,531.834027
531.99,532.18,531.87,794,532.0,2025-01-22 15:21:00+00:00,41496,532.005653
531.79,532.07,531.77,760,532.05,2025-01-22 15:22:00+00:00,54787,531.93475
531.88,531.88,531.68,835,531.74,2025-01-22 15:23:00+00:00,59173,531.765198
531.81,531.9164,531.68,756,531.87,2025-01-22 15:24:00+00:00,43629,531.801498
531.91,532.0,531.72,769,531.82,2025-01-22 15:25:00+00:00,48164,531.789663
531.77,531.975,531.5239,1019,531.88,2025-01-22 15:26:00+00:00,111785,531.694238
531.9,531.94,531.595,805,531.74,2025-01-22 15:27:00+00:00,53462,531.75479
531.96,532.02,531.73,568,531.91,2025-01-22 15:28:00+00:00,40949,531.880939
531.85,532.08,531.8,529,532.01,2025-01-22 15:29:00+00:00,76317,531.915857
531.94,532.205,531.7,989,531.87,2025-01-22 15:30:00+00:00,70632,531.960331
532.01,532.18,531.95,744,532.03,2025-01-22 15:31:00+00:00,34517,532.048847
532.245,532.31,532.0,621,532.03,2025-01-22 15:32:00+00:00,38594,532.223459
532.2591,532.33,532.195,519,532.195,2025-01-22 15:33:00+00:00,120661,532.274178
532.1201,532.36,532.105,544,532.235,2025-01-22 15:34:00+00:00,31261,532.260571
532.24,532.2643,532.035,571,532.19,2025-01-22 15:35:00+00:00,32556,532.16968
532.08,532.24,531.9701,531,532.19,2025-01-22 15:36:00+00:00,28515,532.083811
532.48,532.5,532.09,872,532.1139,2025-01-22 15:37:00+00:00,71278,532.346937
532.4699,532.57,532.33,891,532.5,2025-01-22 15:38:00+00:00,58427,532.469706
532.41,532.49,532.33,610,532.485,2025-01-22 15:39:00+00:00,32018,532.430899
532.535,532.59,532.4146,649,532.4146,2025-01-22 15:40:00+00:00,123507,532.509181
532.32,532.52,532.13,1103,532.52,2025-01-22 15:41:00+00:00,74899,532.291896
532.33,532.365,532.21,601,532.31,2025-01-22 15:42:00+00:00,43010,532.2925
532.46,532.48,532.325,604,532.325,2025-01-22 15:43:00+00:00,35813,532.416024
532.475,532.5499,532.405,693,532.45,2025-01-22 15:44:00+00:00,138795,532.489986
532.33,532.5,532.2879,737,532.46,2025-01-22 15:45:00+00:00,43413,532.374131
